,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
0,"Lester, Aaron",Aaron,Lester,axl60952,68.0,80,2019-08-29,74,80,2019-09-05,77,80,2019-09-12,89,100,2019-09-19,51,70,2019-09-26,87,90,2019-10-03,33,50,2019-10-10,48,70,2019-10-17,42,60,2019-10-24,41,60,2019-10-31,79,100,2019-10-08,63,100,2019-11-08,68,100,2019-12-08,aaron.lester@univ.edu,2,6,9,10,8,8,0.79,0.63,0.68,0.8243243243243243,0.8051785714285714,0.8243243243243243,0.5942028985507246,0.5943570155334862,0.5943570155334862,0.7125368343897756,72.0,C
1,"Cooper, Adam",Adam,Cooper,amc28428,80.0,80,2019-08-29,78,80,2019-09-05,78,80,2019-09-12,87,100,2019-09-19,65,70,2019-09-26,55,90,2019-10-03,44,50,2019-10-10,44,70,2019-10-17,45,60,2019-10-24,53,60,2019-10-31,65,100,2019-10-08,63,100,2019-11-08,90,100,2019-12-08,adam.cooper@univ.edu,2,4,10,16,7,12,0.65,0.63,0.9,0.85,0.8501587301587301,0.8501587301587301,0.7101449275362319,0.6942959001782532,0.7101449275362319,0.7836069703243617,79.0,C
2,"Curry, Alec",Alec,Curry,axc64717,69.0,80,2019-08-29,76,80,2019-09-05,66,80,2019-09-12,87,100,2019-09-19,59,70,2019-09-26,83,90,2019-10-03,43,50,2019-10-10,65,70,2019-10-17,58,60,2019-10-24,42,60,2019-10-31,65,100,2019-10-08,78,100,2019-11-08,83,100,2019-12-08,alec.curry@univ.edu,2,9,9,9,12,11,0.65,0.78,0.83,0.8756756756756757,0.8727817460317461,0.8756756756756757,0.7246376811594203,0.7442806213394448,0.7442806213394448,0.8085544566721037,81.0,B
3,"Rodriguez, Alexander",Alexander,Rodriguez,akr14831,50.0,80,2019-08-29,54,80,2019-09-05,74,80,2019-09-12,75,100,2019-09-19,54,70,2019-09-26,59,90,2019-10-03,38,50,2019-10-10,43,70,2019-10-17,38,60,2019-10-24,47,60,2019-10-31,97,100,2019-10-08,97,100,2019-11-08,81,100,2019-12-08,alexander.rodriguez@univ.edu,2,11,13,16,11,7,0.97,0.97,0.81,0.7189189189189189,0.7192936507936507,0.7192936507936507,0.8405797101449275,0.8353781512605041,0.8405797101449275,0.8068913733609386,81.0,B
4,"Daniels, Amber",Amber,Daniels,axd11293,54.0,80,2019-08-29,57,80,2019-09-05,77,80,2019-09-12,95,100,2019-09-19,47,70,2019-09-26,87,90,2019-10-03,44,50,2019-10-10,58,70,2019-10-17,46,60,2019-10-24,59,60,2019-10-31,68,100,2019-10-08,95,100,2019-11-08,88,100,2019-12-08,amber.daniels@univ.edu,2,7,15,16,5,6,0.68,0.95,0.88,0.8432432432432433,0.8396666666666665,0.8432432432432433,0.7101449275362319,0.6869365928189457,0.7101449275362319,0.811340775558167,82.0,B
9,"Smith, Andrea",Andrea,Smith,aes07091,80.0,80,2019-08-29,71,80,2019-09-05,61,80,2019-09-12,73,100,2019-09-19,61,70,2019-09-26,79,90,2019-10-03,47,50,2019-10-10,62,70,2019-10-17,43,60,2019-10-24,41,60,2019-10-31,66,100,2019-10-08,97,100,2019-11-08,86,100,2019-12-08,andrea.smith@univ.edu,2,5,10,7,12,12,0.66,0.97,0.86,0.8351351351351352,0.8354920634920635,0.8354920634920635,0.6666666666666666,0.6780239368474662,0.6780239368474662,0.7966040064510653,80.0,B
10,"Dunlap, Angela",Angela,Dunlap,axd31221,49.0,80,2019-08-29,73,80,2019-09-05,71,80,2019-09-12,75,100,2019-09-19,62,70,2019-09-26,64,90,2019-10-03,41,50,2019-10-10,66,70,2019-10-17,42,60,2019-10-24,56,60,2019-10-31,82,100,2019-10-08,64,100,2019-11-08,92,100,2019-12-08,angela.dunlap@univ.edu,2,6,11,11,11,6,0.82,0.64,0.92,0.8094594594594594,0.8155515873015874,0.8155515873015874,0.6521739130434783,0.6423121976063152,0.6521739130434783,0.7648728088336785,77.0,C
15,"Martin, Ashley",Ashley,Martin,asm59771,50.0,80,2019-08-29,66,80,2019-09-05,80,80,2019-09-12,68,100,2019-09-19,46,70,2019-09-26,86,90,2019-10-03,33,50,2019-10-10,63,70,2019-10-17,51,60,2019-10-24,48,60,2019-10-31,67,100,2019-10-08,72,100,2019-11-08,68,100,2019-12-08,ashley.martin@univ.edu,2,5,7,8,13,11,0.67,0.72,0.68,0.7986486486486486,0.7952698412698413,0.7986486486486486,0.6376811594202898,0.6474076903488668,0.6474076903488668,0.7211817665641196,73.0,C
16,"Reyes, Bailey",Bailey,Reyes,bxr62103,53.0,80,2019-08-29,50,80,2019-09-05,55,80,2019-09-12,97,100,2019-09-19,57,70,2019-09-26,75,90,2019-10-03,39,50,2019-10-10,64,70,2019-10-17,41,60,2019-10-24,46,60,2019-10-31,90,100,2019-10-08,72,100,2019-11-08,71,100,2019-12-08,bailey.reyes@univ.edu,2,10,15,17,6,7,0.9,0.72,0.71,0.7797297297297298,0.7736904761904763,0.7797297297297298,0.7971014492753623,0.7841991341991342,0.7971014492753623,0.7745223266745006,78.0,C
18,"Graham, Benjamin",Benjamin,Graham,bjg14618,64.0,80,2019-08-29,52,80,2019-09-05,58,80,2019-09-12,87,100,2019-09-19,60,70,2019-09-26,89,90,2019-10-03,41,50,2019-10-10,45,70,2019-10-17,50,60,2019-10-24,37,60,2019-10-31,81,100,2019-10-08,73,100,2019-11-08,81,100,2019-12-08,benjamin.graham@univ.edu,2,7,15,6,6,7,0.81,0.73,0.81,0.7878378378378378,0.780388888888889,0.7878378378378378,0.5942028985507246,0.6002419149477973,0.6002419149477973,0.7302077096194743,74.0,C
23,"Flores, Brandon",Brandon,Flores,bcf26283,62.0,80,2019-08-29,52,80,2019-09-05,77,80,2019-09-12,87,100,2019-09-19,45,70,2019-09-26,71,90,2019-10-03,40,50,2019-10-10,45,70,2019-10-17,45,60,2019-10-24,54,60,2019-10-31,96,100,2019-10-08,93,100,2019-11-08,65,100,2019-12-08,brandon.flores@univ.edu,2,7,15,11,13,7,0.96,0.93,0.65,0.7810810810810811,0.7782103174603175,0.7810810810810811,0.7681159420289855,0.759065444359562,0.7681159420289855,0.7813672150411282,79.0,C
24,"Reilly, Brandy",Brandy,Reilly,bkr19538,70.0,80,2019-08-29,80,80,2019-09-05,55,80,2019-09-12,84,100,2019-09-19,42,70,2019-09-26,79,90,2019-10-03,44,50,2019-10-10,60,70,2019-10-17,45,60,2019-10-24,52,60,2019-10-31,69,100,2019-10-08,67,100,2019-11-08,95,100,2019-12-08,brandy.reilly@univ.edu,2,5,13,6,14,10,0.69,0.67,0.95,0.8256756756756757,0.8234087301587302,0.8256756756756757,0.6956521739130435,0.7014973262032086,0.7014973262032086,0.7847194681312328,79.0,C
27,"Myers, Brian",Brian,Myers,bgm86325,75.0,80,2019-08-29,49,80,2019-09-05,53,80,2019-09-12,65,100,2019-09-19,66,70,2019-09-26,69,90,2019-10-03,49,50,2019-10-10,47,70,2019-10-17,44,60,2019-10-24,53,60,2019-10-31,74,100,2019-10-08,60,100,2019-11-08,92,100,2019-12-08,brian.myers@univ.edu,2,9,10,15,8,7,0.74,0.6,0.92,0.7702702702702703,0.7840119047619047,0.7840119047619047,0.7101449275362319,0.7043926661573721,0.7101449275362319,0.7616482401656315,77.0,C
30,"Watkins, Carol",Carol,Watkins,cxw68726,64.0,80,2019-08-29,76,80,2019-09-05,69,80,2019-09-12,88,100,2019-09-19,60,70,2019-09-26,66,90,2019-10-03,36,50,2019-10-10,51,70,2019-10-17,55,60,2019-10-24,57,60,2019-10-31,62,100,2019-10-08,92,100,2019-11-08,98,100,2019-12-08,carol.watkins@univ.edu,2,6,6,11,5,5,0.62,0.92,0.98,0.8405405405405405,0.8398214285714285,0.8405405405405405,0.4782608695652174,0.47326457855869625,0.4782608695652174,0.7496944770857814,75.0,C
32,"Campbell, Charles",Charles,Campbell,cxc08121,60.0,80,2019-08-29,61,80,2019-09-05,63,80,2019-09-12,81,100,2019-09-19,50,70,2019-09-26,75,90,2019-10-03,44,50,2019-10-10,57,70,2019-10-17,47,60,2019-10-24,50,60,2019-10-31,66,100,2019-10-08,96,100,2019-11-08,100,100,2019-12-08,charles.campbell@univ.edu,2,5,15,14,14,8,0.66,0.96,1.0,0.7945945945945946,0.7968571428571428,0.7968571428571428,0.8115942028985508,0.7889483065953654,0.8115942028985508,0.8412211180124225,85.0,B
34,"Nguyen, Cindy",Cindy,Nguyen,cxn83965,51.0,80,2019-08-29,59,80,2019-09-05,58,80,2019-09-12,63,100,2019-09-19,52,70,2019-09-26,58,90,2019-10-03,50,50,2019-10-10,66,70,2019-10-17,46,60,2019-10-24,41,60,2019-10-31,82,100,2019-10-08,68,100,2019-11-08,82,100,2019-12-08,cindy.nguyen@univ.edu,2,7,10,6,10,10,0.82,0.68,0.82,0.7351351351351352,0.751015873015873,0.751015873015873,0.6231884057971014,0.6407181054239878,0.6407181054239878,0.7246217808335456,73.0,C
36,"Wolf, Courtney",Courtney,Wolf,cxw91147,80.0,80,2019-08-29,79,80,2019-09-05,66,80,2019-09-12,63,100,2019-09-19,56,70,2019-09-26,71,90,2019-10-03,48,50,2019-10-10,43,70,2019-10-17,52,60,2019-10-24,43,60,2019-10-31,88,100,2019-10-08,86,100,2019-11-08,62,100,2019-12-08,courtney.wolf@univ.edu,2,10,15,9,7,9,0.88,0.86,0.62,0.8121621621621622,0.8189007936507936,0.8189007936507936,0.7246376811594203,0.7377005347593583,0.7377005347593583,0.7718704778881249,78.0,C
38,"Holt, Crystal",Crystal,Holt,chh70562,68.0,80,2019-08-29,51,80,2019-09-05,64,80,2019-09-12,91,100,2019-09-19,52,70,2019-09-26,67,90,2019-10-03,37,50,2019-10-10,43,70,2019-10-17,45,60,2019-10-24,39,60,2019-10-31,63,100,2019-10-08,97,100,2019-11-08,73,100,2019-12-08,crystal.holt@univ.edu,2,9,9,14,14,9,0.63,0.97,0.73,0.7527027027027027,0.7439087301587302,0.7527027027027027,0.7971014492753623,0.7983422459893048,0.7983422459893048,0.7785837548778726,78.0,C
40,"Anderson, Daisy",Daisy,Anderson,dma58910,64.0,80,2019-08-29,52,80,2019-09-05,57,80,2019-09-12,84,100,2019-09-19,54,70,2019-09-26,63,90,2019-10-03,34,50,2019-10-10,45,70,2019-10-17,38,60,2019-10-24,45,60,2019-10-31,92,100,2019-10-08,66,100,2019-11-08,94,100,2019-12-08,daisy.anderson@univ.edu,2,9,6,10,6,7,0.92,0.66,0.94,0.7243243243243244,0.7180119047619048,0.7243243243243244,0.5507246376811594,0.5636643748408454,0.5636643748408454,0.7118290421819834,72.0,C
